PLACE,state,utility_name,number,pwsid,total_monitoring_and_reporting_other_violations,total_health_based_violations,more_than_5_violations,IF_MORE_THAN_5_year_of_most_recent_violation,IF_MORE_THAN_5_number_of_violations_2016.2020,VIO_Missing,ERROR_CrossChecked_NoViolationData,IF_LESS_THAN_5_number_vio_2016.2020,IF_LESS_THAN_5_year_of_most_recent_violation,Comments,services_provided,county,institutional_arrangement,rate_change_water,rate_change_sewer,year_or_date_of_last_rates_change,median_household_income_in_2017_u_s_census_bureau,approx_number_of_water_connections_epa_sdwis,service_population_approx,source_water,notes_and_assumptions_about_rates_and_calculated_bills,billing_period_water,base_charge_pricing_water,monthly_gallons_provided_with_base_charge_allowance_water,water_rate_structure,number_of_blocks_water,first_block_maximum_monthly_gallons_water,outside_inside_bill_differential_at_5_000_gallons_water,water_zero_gallons_0_cf,water_zero_gallons_outside_0_cf,water_3_000gallons_401_cf,water_3_000gallons_outside_401_cf,water_4_000gallons_535_cf,water_4_000gallons_outside_535_cf,water_5_000gallons_668_cf,water_5_000gallons_outside_668_cf,water_7_000gallons_936_cf,water_7_000gallons_outside_936_cf,water_10_000gallons_1_337_cf,water_10_000gallons_outside_1_337_cf,water_15_000gallons_2_005_cf,water_15_000gallons_outside_2_005_cf,billing_period_sewer,base_charge_pricing_sewer,monthly_gallons_provided_with_base_charge_allowance_sewer,sewer_rate_structure,number_of_blocks_sewer,first_block_maximum_monthly_gallons_sewer,outside_inside_bill_differential_at_5_000_gallons_sewer,sewer_zero_gallons_0_cf,sewer_zero_gallons_outside_0_cf,sewer_3_000gallons_401_cf,sewer_3_000gallons_outside_401_cf,sewer_4_000gallons_535_cf,sewer_4_000gallons_outside_535_cf,sewer_5_000gallons_668_cf,sewer_5_000gallons_outside_668_cf,sewer_7_000gallons_936_cf,sewer_7_000gallons_outside_936_cf,sewer_10_000gallons_1_337_cf,sewer_10_000gallons_outside_1_337_cf,sewer_15_000gallons_2_005_cf,sewer_15_000gallons_outside_2_005_cf,operating_ratio_fy2018_water,operating_ratio_fy2018_sewer,date_of_last_rates_change,median_household_income_in_2016_census_bureau,implied_rate_structure_for_residential_usage_15_000_gallons_month_water,outside_inside_bill_differential_at_6_000_gallons_water,oper_revenue_oper_expense_inc_depreciation_water,water_6_000gallons_802_cf,water_6_000gallons_outside_802_cf,wastewater_rate_structure,implied_rate_structure_for_residential_usage_15_000_gallons_month_sewer,outside_inside_bill_differential_at_6_000_gallons_sewer,oper_revenue_oper_expense_inc_depreciation_sewer,sewer_6_000gallons_802_cf,sewer_6_000gallons_outside_802_cf,x2016_median_household_income_census,x2016_median_house_value_wi_department_of_revenue,estimated_service_population_epa,number_of_accounts_psc,primary_county,water_planning_region_name,implied_uniform_rate_rate_structure_for_residential_usage_15_000_gals_month,oper_revenue_oper_expense_fy2016,monthly_public_fire_protection_charge,water_1_000gallons_137_cf,water_2_000gallons_267_cf,water_8_000gallons_1_069_cf,water_9_000gallons_1_203_cf,old_institutional_arrangement,old_source_water,old_billing_period_water,monthly_bill,old_water_rate_structure,old_billing_period_sewer,old_sewer_rate_structure,STATE.x,noviolations,NEWMostRecentViolationYear,NEWViolations2016.2020,newviolations_2016_2020,finmostrecentviolationyear,No.CDP,CountyCensusData,BinaryCoLoc,CensusPop_fin,PropNonWhite_All_Census_fin,NonWhite_All_Census_fin,PropNonWhite_no2plus_Census_fin,NonWhite_no2plus_Census_fin,PropHispLat_Census_fin,MedHHI_Census_fin,Under100PovLevel_fin,PropUnder100PovLevel_fin,Under150PovLevel_fin,PropUnder150PovLevel_fin,Under200PovLevel_fin,PropUnder200PovLevel_fin,GiniIndex_Census_fin,CensusWhiteProp_fin,CensusBlackProp_fin,CensusAmIndAKProp_fin,CensusAsianProp_fin,CensusNHPIProp_fin,CensusOtherProp_fin,Census2plusProp_fin,Census2plusOtherProp_fin
Abbeville city,GA,Abbeville,1,GA3150000,1,2,N,NA,NA,,,0,2015,,B,Wilcox County,Municipality,No,No,7/20/2018,20795,494,3002,GW,NA,Monthly,Constant,0,Uniform Rate,NA,NA,NA,4.5,NA,1.5,NA,12.5,NA,14.5,NA,18.5,NA,24.5,NA,34.5,NA,Monthly,Constant,0,Uniform Rate,NA,NA,NA,4.5,NA,1.5,NA,12.5,NA,14.5,NA,18.5,NA,24.5,NA,34.5,NA,0.8,0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Municipality,GW,Monthly,1,Uniform Rate,Monthly,Uniform Rate,Georgia,0,2015,0,0,2015,FALSE,0,0,2793,0.62585034,1748,0.619047619,1729,0.050841389,22813,295,0.388157895,457,0.601315789,584,0.768421053,0.6529,0.37414966,0.619047619,0,0,0,0,0.006802721,0
Abbotsford city,WI,Abbotsford,1,WI7370148,2,1,N,NA,NA,,,1,2017,,W,NA,Municipality,NA,NA,8/27/2015,NA,NA,1956,GW,NA,Monthly,Constant,0,Uniform Rate,0,0,NA,33.14,NA,58.16,NA,66.5,NA,74.84,NA,91.52,NA,116.54,NA,158.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,83.18,NA,NA,NA,NA,NA,NA,NA,40093,102700,1956,916,Marathon,North Central,Uniform Rate,1.6,22.84,41.48,49.82,99.86,108.2,Municipality,G,Monthly,1,Uniform Rate,NA,NA,Wisconsin,0,2017,1,1,2017,FALSE,0,0,2239,0.115230013,258,0.104064314,233,0.37427423,46842,429,0.200093284,572,0.266791045,968,0.451492537,0.4847,0.884769987,0.006699419,0,0,0,0.097364895,0.011165699,0.00223314
Adairsville city,GA,Adairsville,2,GA0150000,0,0,N,NA,NA,,,NA,NA,,B,Bartow County,Municipality,Yes,Yes,1/1/2019,44087,2900,7306,GW,NA,Monthly,Constant,0,Increasing Block,3,5000,1.435622318,6.9,12,16.74,24.87,2.2,29.16,23.3,33.45,31.58,44.15,44,6.2,76.85,13.15,Monthly,Constant,0,Uniform Rate,NA,NA,1.435622318,6.9,12,16.74,24.87,2.2,29.16,23.3,33.45,29.86,42.3,39.7,54.9,56.1,76.35,0.87,0.87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Municipality,GU,Monthly,1,Increasing Block,Monthly,Uniform Rate,Georgia,1,NA,0,0,NA,FALSE,0,0,4856,0.147652389,717,0.134266886,652,0.094728171,48397,702,0.144563427,1461,0.300864909,1757,0.361820428,0.3717,0.852347611,0.129324547,0,0,0.000205931,0.004736409,0.013385502,0
Adams city,WI,Adams,2,WI7010107,0,0,N,NA,NA,,,NA,NA,,W,NA,Municipality,Yes,NA,12/15/2016,NA,NA,1847,GW,NA,Quarterly,Constant,0,Decreasing Block,4,8333,NA,20.04,NA,28.56,NA,31.4,NA,34.24,NA,39.92,NA,47.57,NA,59.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.08,NA,NA,NA,NA,NA,NA,NA,29467,82800,1847,825,Adams,North Central,Decreasing Block,1.31,10.91,22.88,25.72,42.76,45.25,Municipality,G,Quarterly,0,Decreasing Block,NA,NA,Wisconsin,1,NA,0,0,NA,FALSE,0,0,2135,0.105854801,226,0.062763466,134,0.044496487,30806,562,0.271104679,784,0.378195851,1113,0.536903039,0.4438,0.894145199,0.005620609,0,0.048711944,0,0.008430913,0.043091335,0.007962529
Adel city,GA,Adel,3,GA0750000,0,0,N,NA,NA,,,NA,NA,,B,Cook County,Municipality,No,No,2/15/2011,29601,2406,5252,GW,NA,Monthly,Constant,2000,Decreasing Block,3,8000,NA,9.13,NA,12.16,NA,15.19,NA,18.22,NA,24.28,NA,32.81,NA,46.56,NA,Monthly,Constant,9000,Uniform Rate,NA,NA,NA,28.15,NA,28.15,NA,28.15,NA,28.15,NA,28.15,NA,31.25,NA,46.75,NA,1.5,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Municipality,GW,Monthly,1,Decreasing Block,Monthly,Uniform Rate,Georgia,1,NA,0,0,NA,FALSE,0,0,5289,0.541123086,2862,0.505010399,2671,0.056154282,32288,1343,0.257773512,1806,0.346641075,2407,0.461996161,0.4737,0.458876914,0.463036491,0.00567215,0.023444886,0,0.012856873,0.036112687,0
Adell village,WI,Adell,3,WI4600435,2,0,N,NA,NA,,,2,2017,,W,NA,Municipality,NA,NA,10/30/2014,NA,NA,519,GW,NA,Other,Constant,0,Decreasing Block,3,8300,NA,21.72,NA,39.27,NA,45.12,NA,50.97,NA,62.67,NA,79.37,NA,106.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56.82,NA,NA,NA,NA,NA,NA,NA,68203,136000,519,264,Sheboygan,Bay Lake,Decreasing Block,1.42,11.72,27.57,33.42,68.52,74.02,Municipality,G,Bi-monthly,0,Decreasing Block,NA,NA,Wisconsin,0,2017,2,2,2017,FALSE,0,0,602,0.019933555,12,0.009966777,6,0.094684385,67000,18,0.03,82,0.136666667,132,0.22,0.357,0.980066445,0,0,0,0,0.009966777,0.009966777,0
Adrian city,GA,Scott Water and Sewer Authority,449,GA1670001,1,1,N,NA,NA,,,0,2014,,W,Johnson County,Other_Govt,Yes,NA,9/1/2017,36423,61,250,GW,NA,Monthly,Constant,3500,Uniform Rate,NA,NA,NA,2,NA,2,NA,21.5,NA,24.5,NA,3.5,NA,39.5,NA,54.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Authority,GW,Monthly,1,Uniform Rate,NA,NA,Georgia,0,2014,0,0,2014,FALSE,0,0,650,0.281538462,183,0.263076923,171,0.015384615,23393,229,0.356143079,272,0.423017107,378,0.587869362,0.4762,0.718461538,0.263076923,0,0,0,0,0.018461538,0
Adrian city,GA,Adrian,4,GA1070000,0,0,N,NA,NA,,,NA,NA,,W,Johnson County,Municipality,No,NA,2/1/2014,23333,247,664,GW,Base charges calculated per ERU. Modeled here as Residential = 1 ERU and Commercial = 4 ERUs. Base charges also include a $2 administration charge and a debt service charge per ERU.,Monthly,Constant,0,Increasing Block,4,2000,NA,17,NA,29.25,NA,33.5,NA,37.75,NA,46.75,NA,6.25,NA,84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Municipality,GW,Monthly,1,Increasing Block,NA,NA,Georgia,1,NA,0,0,NA,FALSE,0,0,650,0.281538462,183,0.263076923,171,0.015384615,23393,229,0.356143079,272,0.423017107,378,0.587869362,0.4762,0.718461538,0.263076923,0,0,0,0,0.018461538,0
Aguila CDP,AZ,Aguila Water Services,8,AZ0407003,5,2,Y,2017,1,,,NA,NA,,W,Maricopa,For_Profit,No,NA,3/1/2001,27614,316,962,GW,NA,Monthly,By Meter Size,0,Uniform Rate,NA,NA,NA,26,NA,35.39,NA,38.52,NA,41.65,NA,47.91,NA,57.3,NA,72.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,For_Profit,Groundwater,M,1,Uniform Rate,NA,NA,Arizona,0,2017,1,1,2017,FALSE,0,0,888,0.132882883,118,0.101351351,90,0.916666667,27941,392,0.441441441,551,0.620495495,682,0.768018018,0.5027,0.867117117,0,0,0,0,0.101351351,0.031531532,0
Ailey city,GA,Ailey,5,GA2090000,2,0,N,NA,NA,,,1,2018,,B,Montgomery County,Municipality,NA,NA,7/1/2009,61667,165,530,GW,NA,Monthly,Constant,2000,Uniform Rate,NA,NA,NA,15,NA,17,NA,19,NA,21,NA,25,NA,31,NA,41,NA,Monthly,Constant,2000,Uniform Rate,NA,NA,NA,15,NA,17,NA,19,NA,21,NA,25,NA,31,NA,41,NA,0.99,0.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Municipality,GW,Monthly,1,Uniform Rate,Monthly,Uniform Rate,Georgia,0,2018,1,1,2018,FALSE,0,0,624,0.427884615,267,0.403846154,252,0.070512821,62625,25,0.059665871,56,0.133651551,128,0.30548926,0.3295,0.572115385,0.344551282,0,0.025641026,0,0.033653846,0.024038462,0
